,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Participant,Domain,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Disagree,93,Hiring,,,,,,,,,,,,,,,,,,,,
16,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,580,Hiring,,,,,,,,,,,,,,,,,,,,
17,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,626,Hiring,,,,,,,,,,,,,,,,,,,,
18,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,1,Hiring,,,,,,,,,,,,,,,,,,,,
19,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,548,Hiring,,,,,,,,,,,,,,,,,,,,
20,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,11,Hiring,,,,,,,,,,,,,,,,,,,,
21,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,236,Hiring,,,,,,,,,,,,,,,,,,,,
22,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,18,Hiring,,,,,,,,,,,,,,,,,,,,
23,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,17,Hiring,,,,,,,,,,,,,,,,,,,,
24,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,65,Hiring,,,,,,,,,,,,,,,,,,,,
25,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,25,Hiring,,,,,,,,,,,,,,,,,,,,
26,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,115,Hiring,,,,,,,,,,,,,,,,,,,,
27,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Agree,208,Hiring,,,,,,,,,,,,,,,,,,,,
28,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,92,Hiring,,,,,,,,,,,,,,,,,,,,
29,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,423,Hiring,,,,,,,,,,,,,,,,,,,,
30,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,439,Hiring,,,,,,,,,,,,,,,,,,,,
31,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,447,Hiring,,,,,,,,,,,,,,,,,,,,
32,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,316,Hiring,,,,,,,,,,,,,,,,,,,,
33,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Neutral,221,Hiring,,,,,,,,,,,,,,,,,,,,
34,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,368,Hiring,,,,,,,,,,,,,,,,,,,,
35,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,493,Hiring,,,,,,,,,,,,,,,,,,,,
36,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,390,Hiring,,,,,,,,,,,,,,,,,,,,
37,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,285,Hiring,,,,,,,,,,,,,,,,,,,,
38,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,273,Hiring,,,,,,,,,,,,,,,,,,,,
39,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,522,Hiring,,,,,,,,,,,,,,,,,,,,
40,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,499,Hiring,,,,,,,,,,,,,,,,,,,,
41,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,209,Hiring,,,,,,,,,,,,,,,,,,,,
42,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,575,Hiring,,,,,,,,,,,,,,,,,,,,
43,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Agree,355,Hiring,,,,,,,,,,,,,,,,,,,,
44,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,453,Hiring,,,,,,,,,,,,,,,,,,,,
45,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,330,Hiring,,,,,,,,,,,,,,,,,,,,
46,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,520,Hiring,,,,,,,,,,,,,,,,,,,,
47,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,515,Hiring,,,,,,,,,,,,,,,,,,,,
48,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,483,Hiring,,,,,,,,,,,,,,,,,,,,
49,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,388,Hiring,,,,,,,,,,,,,,,,,,,,
50,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Agree,35,Hiring,,,,,,,,,,,,,,,,,,,,
51,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,23,Hiring,,,,,,,,,,,,,,,,,,,,
52,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,618,Hiring,,,,,,,,,,,,,,,,,,,,
53,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,281,Hiring,,,,,,,,,,,,,,,,,,,,
54,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,564,Hiring,,,,,,,,,,,,,,,,,,,,
55,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,38,Hiring,,,,,,,,,,,,,,,,,,,,
56,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,36,Hiring,,,,,,,,,,,,,,,,,,,,
57,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,393,Hiring,,,,,,,,,,,,,,,,,,,,
58,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,569,Hiring,,,,,,,,,,,,,,,,,,,,
59,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,101,Hiring,,,,,,,,,,,,,,,,,,,,
60,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,529,Hiring,,,,,,,,,,,,,,,,,,,,
61,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,201,Hiring,,,,,,,,,,,,,,,,,,,,
62,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,70,Hiring,,,,,,,,,,,,,,,,,,,,
63,Strongly Agree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,270,Hiring,,,,,,,,,,,,,,,,,,,,
64,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,343,Hiring,,,,,,,,,,,,,,,,,,,,
65,Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,119,Hiring,,,,,,,,,,,,,,,,,,,,
66,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,360,Hiring,,,,,,,,,,,,,,,,,,,,
67,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,504,Hiring,,,,,,,,,,,,,,,,,,,,
68,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,212,Hiring,,,,,,,,,,,,,,,,,,,,
69,Agree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,302,Hiring,,,,,,,,,,,,,,,,,,,,
70,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,593,Hiring,,,,,,,,,,,,,,,,,,,,
71,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,481,Hiring,,,,,,,,,,,,,,,,,,,,
72,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,152,Hiring,,,,,,,,,,,,,,,,,,,,
73,Agree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,260,Hiring,,,,,,,,,,,,,,,,,,,,
74,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,332,Hiring,,,,,,,,,,,,,,,,,,,,
75,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,394,Hiring,,,,,,,,,,,,,,,,,,,,
76,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,179,Hiring,,,,,,,,,,,,,,,,,,,,
77,Agree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,146,Hiring,,,,,,,,,,,,,,,,,,,,
78,Agree,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,219,Hiring,,,,,,,,,,,,,,,,,,,,
79,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,607,Hiring,,,,,,,,,,,,,,,,,,,,
80,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,487,Hiring,,,,,,,,,,,,,,,,,,,,
81,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,619,Hiring,,,,,,,,,,,,,,,,,,,,
82,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,358,Hiring,,,,,,,,,,,,,,,,,,,,
83,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,124,Hiring,,,,,,,,,,,,,,,,,,,,
84,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,49,Hiring,,,,,,,,,,,,,,,,,,,,
85,Agree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,89,Hiring,,,,,,,,,,,,,,,,,,,,
86,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,608,Hiring,,,,,,,,,,,,,,,,,,,,
87,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,200,Hiring,,,,,,,,,,,,,,,,,,,,
88,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,148,Hiring,,,,,,,,,,,,,,,,,,,,
89,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,374,Hiring,,,,,,,,,,,,,,,,,,,,
90,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,550,Hiring,,,,,,,,,,,,,,,,,,,,
91,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,130,Hiring,,,,,,,,,,,,,,,,,,,,
92,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,353,Hiring,,,,,,,,,,,,,,,,,,,,
93,Agree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,445,Hiring,,,,,,,,,,,,,,,,,,,,
94,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,469,Hiring,,,,,,,,,,,,,,,,,,,,
95,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,287,Hiring,,,,,,,,,,,,,,,,,,,,
96,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,381,Hiring,,,,,,,,,,,,,,,,,,,,
97,Agree,Agree,Disagree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,392,Hiring,,,,,,,,,,,,,,,,,,,,
98,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,99,Hiring,,,,,,,,,,,,,,,,,,,,
99,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,526,Hiring,,,,,,,,,,,,,,,,,,,,
100,Neutral,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,257,Hiring,,,,,,,,,,,,,,,,,,,,
101,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,202,Hiring,,,,,,,,,,,,,,,,,,,,
102,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,460,Hiring,,,,,,,,,,,,,,,,,,,,
